Character distributions
character,percent occurance

Slovak Character Distribution:

0,0.00127513658766
1,0.0016858547395
2,0.00149959883343
3,0.000988589039875
4,0.000678162529769
5,0.00080074120299
6,0.000561951579832
7,0.000512601724379
8,0.000477579246316
9,0.0003327135416
_,0.0137113001617
a,0.109669706193
b,0.0176640643904
c,0.0219479502299
d,0.0336852561735
e,0.0922858216273
f,0.00203448758931
g,0.00205518268998
h,0.0163141070542
i,0.055556793724
j,0.0252400631678
k,0.0389609149145
l,0.0350288457865
m,0.0488277021434
n,0.0532930680964
o,0.0857175150597
p,0.0295255409381
q,6.20853020211e-05
r,0.0367019650794
s,0.0497000802333
t,0.0538104456133
u,0.0272060977318
v,0.030709937469
w,0.00112708702131
x,0.00075457520918
y,0.0189169139466
z,0.0206998764662
Ä,0.00735472039327
Å,0.0134661428153
â,6.68610944843e-05
ç,0.00452267546262
è,0.00110161612817
°,4.77579246316e-06
•,1.11435157474e-05
©,0.00247067663428
™,1.75112390316e-05
´,0.00109843226653
±,3.18386164211e-06
¥,0.00336215789407
º,0.00263623743967
‡,1.59193082105e-06
·,0.0118264540696
‚,0.0001209867424
‰,1.59193082105e-06
Â,7.95965410527e-06
Ë,1.59193082105e-06
Í,6.20853020211e-05
Ï,0.0209673208441
Ó,9.39239184422e-05
Ô,1.59193082105e-06
Ú,3.18386164211e-06
ˆ,0.000719552731117
¯,6.36772328422e-06
˚,6.36772328422e-06
˝,4.29821321685e-05


French Character Distribution:

0,0.00168622199381
1,0.00217349526959
2,0.00183739819017
3,0.00115575551907
4,0.000925110585556
5,0.00134556938169
6,0.00126711298514
7,0.00163864198558
8,0.000817633758455
9,0.00122122021125
_,0.00483274530405
a,0.0728090545093
b,0.0120001167566
c,0.0337161724279
d,0.0284054336369
e,0.130621801531
f,0.0110583025511
g,0.00845574359032
h,0.0117935992741
i,0.0669594130719
j,0.0142525745931
k,0.00196765268079
l,0.043331046006
m,0.0292892069813
n,0.0631256792173
o,0.060511647063
p,0.02997810476
q,0.0113373711101
r,0.059373438781
s,0.0758788086573
t,0.0633920935187
u,0.0603004053243
v,0.0154886424664
w,0.001880928836
x,0.00396702536706
y,0.00447066481588
z,0.00304056499404
Ä,1.01234060065e-06
Å,0.000151176196363
É,8.43617167204e-07
Ñ,8.43617167204e-07
á,8.43617167204e-07
à,1.85595776785e-06
â,0.00450272226824
ä,1.18106403409e-06
ã,4.38680926946e-06
å,1.01234060065e-06
ç,3.67817084901e-05
è,0.00014071534349
ê,1.68723433441e-05
ï,0.00207529823132
ù,2.37900041152e-05
†,6.07404360387e-06
°,1.26542575081e-05
¢,0.000193863225024
£,3.88063896914e-06
§,0.00145675812433
•,1.94031948457e-05
¶,8.94234197237e-06
®,0.00016231194297
©,0.0116614888257
™,0.00305760606082
´,0.000425520499138
¨,0.00204897737571
Ø,2.69957493505e-06
±,2.8682983685e-06
¥,1.60287261769e-05
µ,2.8682983685e-06
ª,0.00154314452225
º,4.21808583602e-06
æ,3.37446866882e-07
‡,0.00231707891144
·,1.13044700405e-05
‚,0.000250216851793
„,3.10451117531e-05
‰,7.93000137172e-05
Â,0.000161468325803
Ê,2.02468120129e-06
Á,8.36868229867e-05
Ë,0.000290204305518
È,1.02921294399e-05
Í,0.00325416886077
Î,6.74893733764e-07
Ï,0.0215701099014
Ì,3.88063896914e-06
Ó,1.40040449756e-05
Ô,1.569127931e-05
,4.04936240258e-06
Ò,4.38680926946e-06
Ú,7.30572466799e-05
Û,0.00042805135064
Ù,4.01561771589e-05
ı,3.69504319236e-05
ˆ,3.64442616232e-05
˜,0.00116436041418
¯,0.000416240710299
˘,0.00128651617999
˚,0.00446779651751
¸,4.90985191313e-05
˝,2.36212806817e-06


Spanish Character Distribution:

0,0.00170804991512
1,0.00148685803116
2,0.00114926971875
3,0.000795053345141
4,0.000605570787203
5,0.00070069876527
6,0.000587782628703
7,0.000549499418018
8,0.000518176791094
9,0.000577341753062
_,0.00825138534952
a,0.106316729763
b,0.0134041508281
c,0.0378067973967
d,0.0382770234997
e,0.126336528757
f,0.00747412016288
g,0.0148751541963
h,0.0160039288628
i,0.0539302162808
j,0.00613807477987
k,0.00260480512299
l,0.0443157166114
m,0.0299212293938
n,0.063923294367
o,0.0887312015901
p,0.0285836372144
q,0.01228891063
r,0.0576924118036
s,0.069560207116
t,0.0489533988917
u,0.0435202765672
v,0.0102506196853
w,0.0035839272387
x,0.00229351234924
y,0.0125402650436
z,0.00273434932076
,3.86699097831e-07
Ä,0.000127997401382
Å,0.000149265851763
É,3.86699097831e-07
Ñ,1.54679639132e-06
á,3.86699097831e-07
à,6.57388466313e-06
â,0.000270302669384
ã,2.70689368482e-06
ç,1.16009729349e-05
è,6.96058376096e-06
ê,1.54679639132e-06
ï,7.81132177619e-05
ù,1.19876720328e-05
†,3.86699097831e-06
°,4.60171926419e-05
¢,9.39678807729e-05
£,2.0495052185e-05
§,3.09359278265e-06
•,2.70689368482e-06
¶,4.25369007614e-06
®,2.70689368482e-06
©,0.00267827795158
